'device_alarm_name';'event_type_id'
'MS_AD_4624';'AD_USER_AUTH_SUCCESS'
'MS_AD_4625';'AD_USER_AUTH_FAILURE'
'MS_AD_4776_0xc0000064';'AD_USER_AUTH_FAILURE_NOT_EXIST'
'MS_AD_4776_0xc000006a';'AD_USER_AUTH_FAILURE_WRONG_PASS'
'MS_AD_4776_0xc0000234';'AD_USER_AUTH_FAILURE_ACC_LOCKOUT'
'MS_AD_4776_0xc0000072';'AD_USER_AUTH_FAILURE_ACC_DISABLED'
'MS_AD_4776_0xc000006f';'AD_USER_AUTH_FAILURE_ACC_RESTRICT'
'MS_AD_4776_0xc0000070';'AD_USER_AUTH_FAILURE_HOST_RESTRICT'
'MS_AD_4776_0xc0000193';'AD_USER_AUTH_FAILURE_ACC_EXP'
'MS_AD_4776_0xc0000071';'AD_USER_AUTH_FAILURE_PASS_EXP'
'MS_AD_4776_0xc0000224';'AD_USER_AUTH_INFO_CHANGE_PASS'
'MS_AD_4776_0xc0000225';'AD_USER_AUTH_INFO_WIN_BUG'
'MS_AD_4706';'AD_CFG_CHANGE'
'MS_AD_4707';'AD_CFG_CHANGE'
'MS_AD_4713';'AD_CFG_CHANGE'
'MS_AD_4715';'AD_CFG_CHANGE'
'MS_AD_4716';'AD_CFG_CHANGE'
'MS_AD_4719';'AD_CFG_CHANGE'
'MS_AD_4728';'AD_USER_GRP_MBR_CHANGE_ADD'
'MS_AD_4732';'AD_USER_GRP_MBR_CHANGE_ADD'
'MS_AD_4739';'AD_CFG_CHANGE'
'MS_AD_4756';'AD_USER_GRP_MBR_CHANGE_ADD'
'MS_AD_4746';'AD_USER_GRP_MBR_CHANGE_ADD'
'MS_AD_4751';'AD_USER_GRP_MBR_CHANGE_ADD'
'MS_AD_4761';'AD_USER_GRP_MBR_CHANGE_ADD'
'MS_AD_4729';'AD_USER_GRP_MBR_CHANGE_RM'
'MS_AD_4733';'AD_USER_GRP_MBR_CHANGE_RM'
'MS_AD_4757';'AD_USER_GRP_MBR_CHANGE_RM'
'MS_AD_4747';'AD_USER_GRP_MBR_CHANGE_RM'
'MS_AD_4752';'AD_USER_GRP_MBR_CHANGE_RM'
'MS_AD_4762';'AD_USER_GRP_MBR_CHANGE_RM'
'MS_AD_4735';'AD_USER_GRP_PER_CHANGE'
'MS_AD_4737';'AD_USER_GRP_PER_CHANGE'
'MS_AD_4755';'AD_USER_GRP_PER_CHANGE'
'MS_AD_4745';'AD_USER_GRP_PER_CHANGE'
'MS_AD_4750';'AD_USER_GRP_PER_CHANGE'
'MS_AD_4760';'AD_USER_GRP_PER_CHANGE'
'MS_AD_4865';'AD_CFG_CHANGE'
'MS_AD_4866';'AD_CFG_CHANGE'
'MS_AD_4867';'AD_CFG_CHANGE'
'MS_AD_4891';'AD_CFG_CHANGE'
'MS_AD_4895';'AD_CFG_CHANGE'
'MS_AD_4904';'AD_CFG_CHANGE'
'MS_AD_4905';'AD_CFG_CHANGE'
'MS_AD_4908';'AD_CFG_CHANGE'
'MS_AD_4912';'AD_CFG_CHANGE'
'MS_AD_4954';'AD_CFG_CHANGE'
'MS_AD_4741';'AD_HOST_USER_ADD'
'MS_AD_4742';'AD_HOST_USER_CHANGE'
'MS_AD_4743';'AD_HOST_USER_RM'
'MS_AD_4720';'AD_USER_ADD'
'MS_AD_4726';'AD_USER_RM'
'MS_AD_4738';'AD_USER_CHANGE'
'MS_AD_4740';'AD_USER_LOCK'
'MS_AD_4767';'AD_USER_UNLOCK'
'MS_AD_4727';'AD_USER_GRP_ADD'
'MS_AD_4731';'AD_USER_GRP_ADD'
'MS_AD_4764';'AD_USER_GRP_ADD'
'MS_AD_4730';'AD_USER_GRP_RM'
'MS_AD_4734';'AD_USER_GRP_RM'
'MS_AD_4758';'AD_USER_GRP_RM'
'CISCO_ASA_106023';'FW_ACCESS_DENY'
'CISCO_ASA_106100';'FW_ACCESS'
'CISCO_ASA_106102';'FW_ACCESS'
'CISCO_ASA_111008';'FW_CFG_CHANGE'
'CISCO_ASA_111010';'FW_CFG_CHANGE'
'CISCO_ASA_113004';'FW_USER_AUTH_SUCCESS'
'CISCO_ASA_113005';'FW_USER_AUTH_FAILURE'
'CISCO_ASA_113008';'FW_USER_AUTH_SUCCESS'
'CISCO_ASA_302013';'FW_ACCESS_ALLOW'
'CISCO_ASA_302014';'FW_ACCESS_ALLOW_CLOSE'
'CISCO_ASA_302015';'FW_ACCESS_ALLOW'
'CISCO_ASA_302016';'FW_ACCESS_ALLOW_CLOSE'
'CISCO_ASA_502103';'FW_ADMIN_GRP_MBR_CHANGE'
'CISCO_ASA_605004';'FW_ADMIN_AUTH_FAILURE'
'CISCO_ASA_605005';'FW_ADMIN_AUTH_SUCCESS'
'CISCO_ASA_611101';'FW_ADMIN_AUTH_SUCCESS'
'CISCO_ASA_611102';'FW_ADMIN_AUTH_FAILURE'
'CISCO_ASA_713119';'VPN_SESSION_SUCCESS'
'CISCO_ASA_713120';'VPN_SESSION_SUCCESS'
