'ip';'incident';'name'
'103.3.62.64';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.101.197';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.101.198';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.101.232';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.102.70';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.102.71';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.102.72';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.102.73';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'139.99.102.74';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'142.44.242.100';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'142.44.243.6';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'144.217.14.109';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'144.217.14.139';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'149.202.42.174';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'151.80.144.188';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'172.104.165.191';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'192.99.69.170';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'207.246.100.198';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'213.32.29.143';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'213.32.74.157';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'217.182.169.148';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'45.32.71.82';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'45.76.65.223';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.196.13.29';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.196.23.240';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.54.102';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.55.100';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.55.162';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.58.224';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.65.182';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.67.17';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.69.136';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.78.68';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.255.34.79';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.255.34.118';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.255.34.80';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'66.42.105.146';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'199.231.85.124';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'121.100.19.18';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'131.161.253.190';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'181.112.157.42';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'202.29.215.114';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.2.75.167';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.2.79.72';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.34.176.242';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'85.204.116.237';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'186.71.150.23';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.182.210.246';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.182.210.230';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'164.68.120.56';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'195.123.216.223';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'194.87.238.87';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'195.123.221.53';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.2.75.93';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'198.8.91.10';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.99.2.160';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'82.146.62.52';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.2.78.43';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.182.210.226';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.222.202.222';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'194.5.250.82';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'203.23.128.168';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.228.80.23';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'31.184.253.37';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'37.44.212.216';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.100.85.150';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'46.30.41.229';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.230.22.40';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'91.132.139.170';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.254.69.244';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'144.172.71.110';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'176.9.40.131';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.13.39.197';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.41.154.130';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'195.113.199.99';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'37.252.190.176';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.103.58.29';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.9.21.240';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'50.7.74.171';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.7.212';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.38.180.155';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'54.39.148.129';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'79.137.39.39';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'83.163.164.15';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'84.40.112.70';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'85.17.172.75';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'88.99.216.194';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'93.144.178.52';'Plexxus-2019-10';'Plexxus-trickbot-ip'
