'code';'value'
'3000-0148';'Normal traffic'
'3000-0149';'Application Control Traffic identified'
'3000-0150';'IPS Traffic detected'
'3000-0151';'Traffic connection terminated'
'3000-0173';'Hostile traffic'
'2CFF-0000';'HTTPS request'
'1AFF-0024';'HTTP request'
'2CFF-0003';'HTTPS domain name match'
'1AFF-002D';'HTTP good reputation'
'1AFF-0033';'HTTP range header'
'2CFF-0008';'HTTPS timeout'
'2CFF-0001';'HTTPS Request categories'
'1AFF-0012';'HTTP Body Content'
'2E02-0065';'Signature update process started'
'4900-0002';'Multi-Wan Probe Failed'
'1AFF-0021';'HTTP Request categories'
'2E02-0069';'Device has the latest signature version for the specified service'
'1AFF-0023';'HTTP request URL path oversize'
'2E02-0066';'Signature update process completed'
'0207-0001';'Tunnel established or re-keyed'
'2CFF-0007';'HTTPS invalid protocol'
'0209-0001';'BOVPN tunnel limit reached'
'1AFF-0005';'HTTP Invalid RequestLine Format'
'1AFF-0018';'HTTP header Content Type match'
'1AFF-0013';'HTTP header malformed'
'3E00-0002';'User login succeeded'
'3E00-0003';'User login failed'
'1100-0003';'Authentication server unavailable'
'0203-0015';'IKE Phase 1 retry timeout'
'2E02-0067';'Signature update process for the specified version failed'
'1AFF-0003';'HTTP close complete timeout'
'0203-0006';'IKE Phase 1 encryption mismatch'
'0101-0001';'Device configuration change'
'1100-0004';'User authentication succeeded'
'1AFF-001A';'HTTP request method match'
'3100-002C';'Interface link status changed'
'3001-1001';'3001-1001'
'1600-0065';'1600-0065'
'1600-0066';'1600-0066'
'0000-005C';'0000-005C'
'1AFF-003C';'1AFF-003C'
