"winlogbeat_id";"winlogbeat_msg"
"WINLOGBEAT_1100";"The event logging service has shut down"
"WINLOGBEAT_1101";"Audit events have been dropped by the transport."
"WINLOGBEAT_1102";"The audit log was cleared"
"WINLOGBEAT_1104";"The security Log is now full"
"WINLOGBEAT_1105";"Event log automatic backup"
"WINLOGBEAT_1108";"The event logging service encountered an error"
"WINLOGBEAT_4608";"Windows is starting up"
"WINLOGBEAT_4609";"Windows is shutting down"
"WINLOGBEAT_4610";"An authentication package has been loaded by the Local Security Authority"
"WINLOGBEAT_4611";"A trusted logon process has been registered with the Local Security Authority"
"WINLOGBEAT_4612";"Internal resources allocated for the queuing of audit messages have been exhausted  leading to the loss of some audits."
"WINLOGBEAT_4614";"A notification package has been loaded by the Security Account Manager."
"WINLOGBEAT_4615";"Invalid use of LPC port"
"WINLOGBEAT_4616";"The system time was changed."
"WINLOGBEAT_4618";"A monitored security event pattern has occurred"
"WINLOGBEAT_4621";"Administrator recovered system from CrashOnAuditFail"
"WINLOGBEAT_4622";"A security package has been loaded by the Local Security Authority."
"WINLOGBEAT_4624";"An account was successfully logged on"
"WINLOGBEAT_4625";"An account failed to log on"
"WINLOGBEAT_4626";"User/Device claims information"
"WINLOGBEAT_4627";"Group membership information."
"WINLOGBEAT_4634";"An account was logged off"
"WINLOGBEAT_4646";"IKE DoS-prevention mode started"
"WINLOGBEAT_4647";"User initiated logoff"
"WINLOGBEAT_4648";"A logon was attempted using explicit credentials"
"WINLOGBEAT_4649";"A replay attack was detected"
"WINLOGBEAT_4650";"An IPsec Main Mode security association was established"
"WINLOGBEAT_4651";"An IPsec Main Mode security association was established"
"WINLOGBEAT_4652";"An IPsec Main Mode negotiation failed"
"WINLOGBEAT_4653";"An IPsec Main Mode negotiation failed"
"WINLOGBEAT_4654";"An IPsec Quick Mode negotiation failed"
"WINLOGBEAT_4655";"An IPsec Main Mode security association ended"
"WINLOGBEAT_4656";"A handle to an object was requested"
"WINLOGBEAT_4657";"A registry value was modified"
"WINLOGBEAT_4658";"The handle to an object was closed"
"WINLOGBEAT_4659";"A handle to an object was requested with intent to delete"
"WINLOGBEAT_4660";"An object was deleted"
"WINLOGBEAT_4661";"A handle to an object was requested"
"WINLOGBEAT_4662";"An operation was performed on an object"
"WINLOGBEAT_4663";"An attempt was made to access an object"
"WINLOGBEAT_4664";"An attempt was made to create a hard link"
"WINLOGBEAT_4665";"An attempt was made to create an application client context."
"WINLOGBEAT_4666";"An application attempted an operation"
"WINLOGBEAT_4667";"An application client context was deleted"
"WINLOGBEAT_4668";"An application was initialized"
"WINLOGBEAT_4670";"Permissions on an object were changed"
"WINLOGBEAT_4671";"An application attempted to access a blocked ordinal through the TBS"
"WINLOGBEAT_4672";"Special privileges assigned to new logon"
"WINLOGBEAT_4673";"A privileged service was called"
"WINLOGBEAT_4674";"An operation was attempted on a privileged object"
"WINLOGBEAT_4675";"SIDs were filtered"
"WINLOGBEAT_4688";"A new process has been created"
"WINLOGBEAT_4689";"A process has exited"
"WINLOGBEAT_4690";"An attempt was made to duplicate a handle to an object"
"WINLOGBEAT_4691";"Indirect access to an object was requested"
"WINLOGBEAT_4692";"Backup of data protection master key was attempted"
"WINLOGBEAT_4693";"Recovery of data protection master key was attempted"
"WINLOGBEAT_4694";"Protection of auditable protected data was attempted"
"WINLOGBEAT_4695";"Unprotection of auditable protected data was attempted"
"WINLOGBEAT_4696";"A primary token was assigned to process"
"WINLOGBEAT_4697";"A service was installed in the system"
"WINLOGBEAT_4698";"A scheduled task was created"
"WINLOGBEAT_4699";"A scheduled task was deleted"
"WINLOGBEAT_4700";"A scheduled task was enabled"
"WINLOGBEAT_4701";"A scheduled task was disabled"
"WINLOGBEAT_4702";"A scheduled task was updated"
"WINLOGBEAT_4703";"A token right was adjusted"
"WINLOGBEAT_4704";"A user right was assigned"
"WINLOGBEAT_4705";"A user right was removed"
"WINLOGBEAT_4706";"A new trust was created to a domain"
"WINLOGBEAT_4707";"A trust to a domain was removed"
"WINLOGBEAT_4709";"IPsec Services was started"
"WINLOGBEAT_4710";"IPsec Services was disabled"
"WINLOGBEAT_4711";"PAStore Engine (1%)"
"WINLOGBEAT_4712";"IPsec Services encountered a potentially serious failure"
"WINLOGBEAT_4713";"Kerberos policy was changed"
"WINLOGBEAT_4714";"Encrypted data recovery policy was changed"
"WINLOGBEAT_4715";"The audit policy (SACL) on an object was changed"
"WINLOGBEAT_4716";"Trusted domain information was modified"
"WINLOGBEAT_4717";"System security access was granted to an account"
"WINLOGBEAT_4718";"System security access was removed from an account"
"WINLOGBEAT_4719";"System audit policy was changed"
"WINLOGBEAT_4720";"A user account was created"
"WINLOGBEAT_4722";"A user account was enabled"
"WINLOGBEAT_4723";"An attempt was made to change an account's password"
"WINLOGBEAT_4724";"An attempt was made to reset an accounts password"
"WINLOGBEAT_4725";"A user account was disabled"
"WINLOGBEAT_4726";"A user account was deleted"
"WINLOGBEAT_4727";"A security-enabled global group was created"
"WINLOGBEAT_4728";"A member was added to a security-enabled global group"
"WINLOGBEAT_4729";"A member was removed from a security-enabled global group"
"WINLOGBEAT_4730";"A security-enabled global group was deleted"
"WINLOGBEAT_4731";"A security-enabled local group was created"
"WINLOGBEAT_4732";"A member was added to a security-enabled local group"
"WINLOGBEAT_4733";"A member was removed from a security-enabled local group"
"WINLOGBEAT_4734";"A security-enabled local group was deleted"
